distance_km,avg_speed_kmph,vehicle_type,traffic_level,co2_emission
13.7,68,bike,low,548.0
18.4,78,car,low,2208.0
27.6,51,bike,low,1104.0
88.7,44,car,low,10644.0
28.6,28,bike,medium,1372.8
10.7,56,bike,low,428.0
84.0,69,bike,low,3360.0
26.6,27,car,medium,3830.4
17.1,27,bike,medium,820.8
76.6,17,car,high,13788.0
49.9,18,bike,high,2994.0
86.5,15,car,high,15570.0
83.3,15,car,high,14994.0
55.3,79,bike,low,2212.0
26.2,18,car,high,4716.0
51.2,60,bike,low,2048.0
30.9,64,car,low,3708.0
97.0,51,bike,low,3880.0
12.9,71,bike,low,516.0
6.1,19,car,high,1098.0
27.5,9,car,high,4950.0
59.8,80,car,low,7176.0
11.6,31,car,medium,1670.4
94.9,18,bike,high,5694.0
65.3,35,bike,medium,3134.4
3.4,6,car,high,612.0
71.8,64,car,low,8616.0
45.5,45,bike,low,1820.0
75.1,12,car,high,13518.0
57.3,49,car,low,6876.0
75.4,40,car,low,9048.0
41.3,22,car,medium,5947.2
34.4,33,car,medium,4953.6
36.0,23,car,medium,5184.0
44.2,5,car,high,7956.0
97.8,70,bike,low,3912.0
92.0,23,car,medium,13248.0
75.4,18,car,high,13572.0
38.1,67,car,low,4572.0
61.6,70,bike,low,2464.0
31.7,67,bike,low,1268.0
18.0,17,car,high,3240.0
77.1,14,car,high,13878.0
28.3,30,bike,medium,1358.4
79.5,74,car,low,9540.0
97.0,76,bike,low,3880.0
77.4,72,bike,low,3096.0
27.5,38,bike,medium,1320.0
72.9,12,car,high,13122.0
86.6,57,car,low,10392.0
69.4,17,bike,high,4164.0
35.6,47,bike,low,1424.0
65.5,24,car,medium,9432.0
65.2,12,car,high,11736.0
86.9,40,car,low,10428.0
85.5,16,car,high,15390.0
20.5,11,car,high,3690.0
60.8,35,bike,medium,2918.4
29.7,74,car,low,3564.0
84.5,24,car,medium,12168.0
25.0,20,car,medium,3600.0
82.0,65,bike,low,3280.0
3.1,33,car,medium,446.4
31.3,34,bike,medium,1502.4
13.6,23,car,medium,1958.4
79.6,14,bike,high,4776.0
86.4,11,car,high,15552.0
61.0,36,car,medium,8784.0
71.0,24,bike,medium,3408.0
72.7,14,car,high,13086.0
29.1,11,bike,high,1746.0
92.1,80,car,low,11052.0
89.6,34,car,medium,12902.4
42.8,34,car,medium,6163.2
76.2,20,bike,medium,3657.6
54.9,38,bike,medium,2635.2
58.1,68,bike,low,2324.0
12.4,20,bike,high,744.0
3.9,31,car,medium,561.6
97.3,43,car,low,11676.0
58.7,39,bike,medium,2817.6
20.3,17,car,high,3654.0
56.0,7,car,high,10080.0
36.8,28,bike,medium,1766.4
98.2,20,car,high,17676.0
12.5,27,car,medium,1800.0
64.0,79,bike,low,2560.0
99.9,9,bike,high,5994.0
25.5,43,bike,low,1020.0
82.8,72,bike,low,3312.0
80.8,15,car,high,14544.0
2.0,23,bike,medium,96.0
6.7,21,car,medium,964.8
34.2,24,car,medium,4924.8
15.9,75,bike,low,636.0
32.1,8,car,high,5778.0
23.0,32,car,medium,3312.0
52.1,75,bike,low,2084.0
55.5,19,bike,high,3330.0
83.8,78,car,low,10056.0
63.4,11,car,high,11412.0
93.4,27,bike,medium,4483.2
81.0,72,bike,low,3240.0
35.1,37,car,medium,5054.4
35.2,38,car,medium,5068.8
35.5,64,bike,low,1420.0
95.3,58,bike,low,3812.0
79.5,33,car,medium,11448.0
71.4,18,bike,high,4284.0
41.6,37,bike,medium,1996.8
78.7,38,car,medium,11332.8
67.2,40,bike,medium,3225.6
81.5,54,bike,low,3260.0
28.1,7,bike,high,1686.0
41.3,14,bike,high,2478.0
86.0,27,bike,medium,4128.0
94.5,11,car,high,17010.0
75.3,70,bike,low,3012.0
14.2,23,bike,medium,681.6
91.5,72,car,low,10980.0
26.7,24,bike,medium,1281.6
2.7,74,car,low,324.0
64.4,50,bike,low,2576.0
30.2,16,car,high,5436.0
35.5,13,car,high,6390.0
1.6,12,bike,high,96.0
48.3,14,bike,high,2898.0
63.8,78,bike,low,2552.0
75.5,16,car,high,13590.0
93.7,64,bike,low,3748.0
29.0,10,bike,high,1740.0
38.4,57,car,low,4608.0
74.8,40,bike,medium,3590.4
61.5,34,bike,medium,2952.0
85.6,77,car,low,10272.0
91.5,58,bike,low,3660.0
40.5,17,bike,high,2430.0
92.8,38,bike,medium,4454.4
47.1,7,bike,high,2826.0
41.7,38,bike,medium,2001.6
99.0,24,car,medium,14256.0
48.4,23,car,medium,6969.6
98.1,13,bike,high,5886.0
37.9,36,car,medium,5457.6
86.7,38,bike,medium,4161.6
47.3,28,car,medium,6811.2
98.9,73,bike,low,3956.0
24.0,19,car,high,4320.0
7.3,9,car,high,1314.0
21.3,53,car,low,2556.0
42.3,50,car,low,5076.0
65.2,32,bike,medium,3129.6
7.8,65,bike,low,312.0
3.9,10,bike,high,234.0
2.2,28,bike,medium,105.6
67.4,53,bike,low,2696.0
16.0,36,car,medium,2304.0
72.6,5,car,high,13068.0
32.1,53,car,low,3852.0
83.5,17,car,high,15030.0
27.9,11,bike,high,1674.0
1.0,45,car,low,120.0
5.6,32,car,medium,806.4
98.3,12,bike,high,5898.0
17.7,34,car,medium,2548.8
99.6,26,bike,medium,4780.8
4.8,21,bike,medium,230.4
17.1,68,car,low,2052.0
36.5,53,bike,low,1460.0
44.6,64,bike,low,1784.0
36.4,71,bike,low,1456.0
44.7,37,bike,medium,2145.6
82.2,58,car,low,9864.0
56.6,39,car,medium,8150.4
1.8,12,car,high,324.0
69.0,18,car,high,12420.0
1.9,5,bike,high,114.0
10.8,42,bike,low,432.0
86.1,58,bike,low,3444.0
33.7,38,bike,medium,1617.6
69.5,30,car,medium,10008.0
79.6,64,car,low,9552.0
63.6,15,car,high,11448.0
38.4,63,car,low,4608.0
11.8,20,car,medium,1699.2
48.2,42,car,low,5784.0
25.7,20,car,high,4626.0
53.0,21,car,medium,7632.0
73.6,72,bike,low,2944.0
54.6,12,car,high,9828.0
40.0,9,bike,high,2400.0
25.1,33,bike,medium,1204.8
62.8,75,bike,low,2512.0
65.7,74,bike,low,2628.0
41.8,68,bike,low,1672.0
90.8,18,bike,high,5448.0
13.1,31,bike,medium,628.8
91.6,73,bike,low,3664.0
67.2,14,bike,high,4032.0
24.8,28,car,medium,3571.2
1.4,75,bike,low,56.0
43.4,33,bike,medium,2083.2
97.5,24,car,medium,14040.0
24.8,72,bike,low,992.0
45.8,35,bike,medium,2198.4
57.6,24,bike,medium,2764.8
22.2,16,bike,high,1332.0
6.0,12,bike,high,360.0
34.2,66,bike,low,1368.0
39.3,5,bike,high,2358.0
74.3,21,bike,medium,3566.4
93.1,57,car,low,11172.0
15.9,40,bike,medium,763.2
7.2,11,car,high,1296.0
17.3,48,car,low,2076.0
63.8,24,bike,medium,3062.4
4.6,32,car,medium,662.4
25.8,39,car,medium,3715.2
61.6,8,bike,high,3696.0
82.8,11,car,high,14904.0
85.7,34,bike,medium,4113.6
93.4,25,bike,medium,4483.2
82.6,39,car,medium,11894.4
60.0,71,car,low,7200.0
65.4,44,car,low,7848.0
94.0,66,car,low,11280.0
66.6,22,bike,medium,3196.8
2.4,36,car,medium,345.6
92.0,7,car,high,16560.0
58.7,31,bike,medium,2817.6
14.3,20,bike,high,858.0
43.2,62,bike,low,1728.0
5.6,15,car,high,1008.0
92.9,80,bike,low,3716.0
27.9,45,car,low,3348.0
64.3,10,bike,high,3858.0
76.4,10,car,high,13752.0
43.8,19,bike,high,2628.0
77.8,15,bike,high,4668.0
33.0,76,bike,low,1320.0
18.8,6,car,high,3384.0
43.7,50,car,low,5244.0
39.8,80,bike,low,1592.0
37.5,18,car,high,6750.0
99.7,68,car,low,11964.0
52.2,7,bike,high,3132.0
4.4,36,bike,medium,211.2
64.1,39,car,medium,9230.4
18.1,40,bike,medium,868.8
39.8,45,bike,low,1592.0
48.9,40,car,medium,7041.6
43.8,12,bike,high,2628.0
29.9,71,bike,low,1196.0
89.7,8,car,high,16146.0
53.6,25,bike,medium,2572.8
86.6,46,car,low,10392.0
72.0,75,bike,low,2880.0
99.8,12,car,high,17964.0
54.9,21,car,medium,7905.6
93.9,23,car,medium,13521.6
51.2,20,car,medium,7372.8
46.1,36,car,medium,6638.4
57.3,38,car,medium,8251.2
40.9,68,car,low,4908.0
83.9,11,car,high,15102.0
46.9,28,car,medium,6753.6
69.3,20,bike,medium,3326.4
18.0,33,bike,medium,864.0
56.6,12,bike,high,3396.0
11.4,23,bike,medium,547.2
96.3,79,bike,low,3852.0
56.9,30,bike,medium,2731.2
32.8,65,bike,low,1312.0
68.4,77,bike,low,2736.0
60.2,43,car,low,7224.0
45.4,26,bike,medium,2179.2
97.2,39,car,medium,13996.8
35.0,5,car,high,6300.0
1.3,72,bike,low,52.0
34.0,63,car,low,4080.0
10.7,72,car,low,1284.0
58.5,8,car,high,10530.0
74.7,78,car,low,8964.0
71.4,33,bike,medium,3427.2
88.9,74,car,low,10668.0
97.5,33,bike,medium,4680.0
77.2,44,bike,low,3088.0
1.4,39,bike,medium,67.2
10.9,16,car,high,1962.0
97.0,36,bike,medium,4656.0
85.2,18,bike,high,5112.0
96.0,59,car,low,11520.0
46.3,6,car,high,8334.0
18.1,35,car,medium,2606.4
88.7,20,car,medium,12772.8
62.4,20,bike,high,3744.0
63.6,42,bike,low,2544.0
20.2,59,car,low,2424.0
58.5,5,car,high,10530.0
17.0,77,bike,low,680.0
19.4,78,bike,low,776.0
77.7,43,car,low,9324.0
16.6,6,car,high,2988.0
9.2,67,car,low,1104.0
71.1,20,car,medium,10238.4
39.1,6,bike,high,2346.0
97.4,78,bike,low,3896.0
7.4,7,bike,high,444.0
79.9,34,car,medium,11505.6
76.4,15,car,high,13752.0
88.1,27,bike,medium,4228.8
29.3,38,bike,medium,1406.4
12.4,47,bike,low,496.0
35.6,22,bike,medium,1708.8
39.0,71,bike,low,1560.0
35.3,26,bike,medium,1694.4
43.2,79,bike,low,1728.0
97.1,54,bike,low,3884.0
24.8,38,car,medium,3571.2
92.8,58,bike,low,3712.0
64.2,52,car,low,7704.0
32.0,35,car,medium,4608.0
76.5,9,car,high,13770.0
91.7,13,bike,high,5502.0
61.5,73,bike,low,2460.0
57.9,52,car,low,6948.0
5.9,6,bike,high,354.0
9.1,14,bike,high,546.0
72.3,40,bike,low,2892.0
11.3,50,bike,low,452.0
91.3,32,car,medium,13147.2
98.8,23,car,medium,14227.2
62.9,20,car,high,11322.0
62.6,8,bike,high,3756.0
44.1,25,car,medium,6350.4
4.1,21,bike,medium,196.8
15.4,16,car,high,2772.0
44.5,77,car,low,5340.0
62.9,10,car,high,11322.0
88.6,14,bike,high,5316.0
15.1,28,bike,medium,724.8
5.5,18,car,high,990.0
79.8,22,bike,medium,3830.4
31.9,7,bike,high,1914.0
54.9,78,car,low,6588.0
58.1,17,car,high,10458.0
30.0,49,car,low,3600.0
29.4,40,car,medium,4233.6
88.7,74,bike,low,3548.0
12.6,34,bike,medium,604.8
59.8,38,car,medium,8611.2
53.4,80,car,low,6408.0
67.2,8,car,high,12096.0
87.4,67,car,low,10488.0
44.2,11,bike,high,2652.0
55.5,56,bike,low,2220.0
99.3,16,bike,high,5958.0
37.7,24,car,medium,5428.8
8.8,65,car,low,1056.0
79.1,18,bike,high,4746.0
99.8,27,bike,medium,4790.4
55.4,73,bike,low,2216.0
2.8,21,car,medium,403.2
94.4,37,car,medium,13593.6
96.3,6,car,high,17334.0
91.0,48,car,low,10920.0
37.8,12,bike,high,2268.0
98.7,15,car,high,17766.0
10.8,27,bike,medium,518.4
38.6,7,bike,high,2316.0
43.2,8,car,high,7776.0
32.4,13,car,high,5832.0
16.2,7,car,high,2916.0
51.4,53,bike,low,2056.0
45.1,20,car,high,8118.0
42.0,25,bike,medium,2016.0
48.0,62,bike,low,1920.0
92.4,60,bike,low,3696.0
3.3,39,car,medium,475.2
13.9,30,bike,medium,667.2
25.5,5,bike,high,1530.0
75.9,17,bike,high,4554.0
57.7,31,bike,medium,2769.6
57.0,19,car,high,10260.0
20.1,19,car,high,3618.0
17.0,50,car,low,2040.0
51.4,61,car,low,6168.0
55.4,12,bike,high,3324.0
56.7,42,car,low,6804.0
51.2,12,bike,high,3072.0
89.1,15,bike,high,5346.0
67.6,46,bike,low,2704.0
82.5,31,car,medium,11880.0
79.0,58,car,low,9480.0
98.9,28,bike,medium,4747.2
4.2,80,bike,low,168.0
84.1,28,bike,medium,4036.8
97.9,22,car,medium,14097.6
77.1,23,car,medium,11102.4
88.6,22,car,medium,12758.4
32.5,38,bike,medium,1560.0
37.9,51,car,low,4548.0
86.5,73,bike,low,3460.0
11.1,12,car,high,1998.0
77.5,8,bike,high,4650.0
10.4,11,bike,high,624.0
90.4,76,car,low,10848.0
94.6,26,bike,medium,4540.8
45.6,66,bike,low,1824.0
90.4,68,bike,low,3616.0
52.6,39,car,medium,7574.4
36.4,10,bike,high,2184.0
94.2,72,car,low,11304.0
52.3,33,bike,medium,2510.4
86.3,62,bike,low,3452.0
47.2,29,car,medium,6796.8
90.7,19,bike,high,5442.0
59.2,10,car,high,10656.0
47.5,78,bike,low,1900.0
80.9,65,car,low,9708.0
38.8,71,car,low,4656.0
99.6,32,car,medium,14342.4
54.8,11,car,high,9864.0
26.0,20,car,high,4680.0
98.2,62,car,low,11784.0
10.7,66,bike,low,428.0
29.0,21,bike,medium,1392.0
4.3,67,bike,low,172.0
38.0,57,car,low,4560.0
43.2,30,car,medium,6220.8
53.4,7,bike,high,3204.0
38.3,36,bike,medium,1838.4
62.8,77,bike,low,2512.0
63.9,10,car,high,11502.0
83.1,37,bike,medium,3988.8
59.8,19,car,high,10764.0
93.1,14,car,high,16758.0
11.6,22,car,medium,1670.4
9.7,28,car,medium,1396.8
17.9,46,bike,low,716.0
40.3,51,car,low,4836.0
25.2,18,car,high,4536.0
7.5,39,bike,medium,360.0
66.0,7,car,high,11880.0
29.1,27,bike,medium,1396.8
91.9,27,car,medium,13233.6
97.1,54,bike,low,3884.0
21.1,72,bike,low,844.0
72.7,27,bike,medium,3489.6
99.9,20,bike,high,5994.0
64.8,8,car,high,11664.0
86.7,40,car,low,10404.0
35.5,32,car,medium,5112.0
35.1,16,car,high,6318.0
93.9,77,bike,low,3756.0
90.5,35,bike,medium,4344.0
51.7,10,car,high,9306.0
94.0,45,bike,low,3760.0
21.6,63,car,low,2592.0
12.4,11,car,high,2232.0
62.8,14,bike,high,3768.0
37.0,9,bike,high,2220.0
9.5,35,bike,medium,456.0
27.4,21,bike,medium,1315.2
59.9,24,bike,medium,2875.2
78.8,19,bike,high,4728.0
81.3,63,car,low,9756.0
70.6,37,bike,medium,3388.8
50.3,8,car,high,9054.0
92.8,69,bike,low,3712.0
57.2,54,bike,low,2288.0
35.8,56,car,low,4296.0
28.6,5,car,high,5148.0
34.0,78,car,low,4080.0
66.6,40,bike,medium,3196.8
75.6,18,bike,high,4536.0
90.0,15,car,high,16200.0
22.1,8,car,high,3978.0
31.1,5,car,high,5598.0
65.8,19,car,high,11844.0
44.6,12,car,high,8028.0
13.0,56,bike,low,520.0
28.2,64,bike,low,1128.0
19.3,5,bike,high,1158.0
97.8,12,bike,high,5868.0
22.0,27,car,medium,3168.0
55.7,13,car,high,10026.0
56.6,33,car,medium,8150.4
91.5,70,car,low,10980.0
46.4,34,car,medium,6681.6
38.5,62,bike,low,1540.0
86.5,38,car,medium,12456.0
17.6,16,bike,high,1056.0
62.9,6,car,high,11322.0
13.0,39,bike,medium,624.0
6.5,28,car,medium,936.0
17.6,58,bike,low,704.0
90.3,17,car,high,16254.0
55.9,12,bike,high,3354.0
92.6,7,car,high,16668.0
20.6,18,bike,high,1236.0
34.0,62,car,low,4080.0
16.1,61,bike,low,644.0
32.9,60,car,low,3948.0
55.6,19,bike,high,3336.0
57.9,66,bike,low,2316.0
95.3,17,bike,high,5718.0
1.7,70,bike,low,68.0
56.1,35,bike,medium,2692.8
83.6,33,bike,medium,4012.8
44.1,71,car,low,5292.0
60.4,70,car,low,7248.0
64.4,31,bike,medium,3091.2
94.7,67,car,low,11364.0
54.3,8,car,high,9774.0
84.4,15,car,high,15192.0
91.2,49,bike,low,3648.0
81.4,26,bike,medium,3907.2
3.4,70,car,low,408.0
4.5,18,bike,high,270.0
91.4,71,bike,low,3656.0
9.3,15,car,high,1674.0
35.0,8,car,high,6300.0
46.4,34,car,medium,6681.6
7.4,21,car,medium,1065.6
57.3,51,car,low,6876.0
92.2,62,bike,low,3688.0
60.0,18,car,high,10800.0
77.0,16,car,high,13860.0
30.9,19,bike,high,1854.0
30.6,25,car,medium,4406.4
56.3,37,bike,medium,2702.4
62.5,15,bike,high,3750.0
57.5,20,bike,high,3450.0
90.6,17,bike,high,5436.0
28.2,21,bike,medium,1353.6
7.1,10,bike,high,426.0
26.8,28,bike,medium,1286.4
93.5,40,car,medium,13464.0
1.1,50,bike,low,44.0
87.5,77,car,low,10500.0
71.7,15,car,high,12906.0
55.3,76,bike,low,2212.0
79.8,15,car,high,14364.0
82.2,37,car,medium,11836.8
49.4,25,car,medium,7113.6
93.4,61,car,low,11208.0
7.1,44,bike,low,284.0
3.7,39,car,medium,532.8
89.7,52,car,low,10764.0
29.5,17,car,high,5310.0
82.3,20,car,high,14814.0
11.7,51,bike,low,468.0
2.4,67,bike,low,96.0
96.7,49,car,low,11604.0
72.4,43,car,low,8688.0
50.5,10,bike,high,3030.0
95.2,16,bike,high,5712.0
65.1,40,car,low,7812.0
60.1,18,bike,high,3606.0
99.9,47,bike,low,3996.0
69.8,20,bike,high,4188.0
98.0,14,bike,high,5880.0
95.8,16,bike,high,5748.0
94.5,33,bike,medium,4536.0
75.5,39,bike,medium,3624.0
78.1,20,car,high,14058.0
75.9,38,car,medium,10929.6
10.2,27,bike,medium,489.6
66.9,20,car,high,12042.0
21.2,40,car,low,2544.0
2.2,8,bike,high,132.0
38.4,23,bike,medium,1843.2
51.9,7,car,high,9342.0
38.3,59,bike,low,1532.0
16.1,6,car,high,2898.0
32.3,9,car,high,5814.0
97.4,42,bike,low,3896.0
70.0,54,car,low,8400.0
31.2,62,car,low,3744.0
19.6,14,bike,high,1176.0
28.2,9,bike,high,1692.0
91.4,20,bike,medium,4387.2
12.3,58,bike,low,492.0
37.6,60,car,low,4512.0
91.2,15,bike,high,5472.0
14.0,10,car,high,2520.0
65.7,29,car,medium,9460.8
82.7,13,car,high,14886.0
62.9,44,car,low,7548.0
81.6,31,bike,medium,3916.8
70.5,49,car,low,8460.0
32.3,29,bike,medium,1550.4
52.6,64,car,low,6312.0
70.5,62,car,low,8460.0
18.4,50,car,low,2208.0
90.6,16,car,high,16308.0
29.3,7,bike,high,1758.0
69.8,49,bike,low,2792.0
37.6,65,bike,low,1504.0
34.9,29,bike,medium,1675.2
71.0,18,bike,high,4260.0
84.5,36,car,medium,12168.0
68.5,44,car,low,8220.0
94.6,27,car,medium,13622.4
94.9,17,car,high,17082.0
71.5,12,car,high,12870.0
77.6,74,bike,low,3104.0
19.3,11,bike,high,1158.0
65.4,48,bike,low,2616.0
61.1,11,bike,high,3666.0
59.0,25,car,medium,8496.0
96.3,31,car,medium,13867.2
29.2,12,car,high,5256.0
92.9,72,car,low,11148.0
60.4,74,bike,low,2416.0
21.6,61,car,low,2592.0
40.7,34,car,medium,5860.8
59.1,7,car,high,10638.0
47.3,30,bike,medium,2270.4
76.3,61,car,low,9156.0
40.9,36,car,medium,5889.6
9.2,52,bike,low,368.0
10.7,30,bike,medium,513.6
93.1,37,bike,medium,4468.8
61.1,70,bike,low,2444.0
91.2,10,car,high,16416.0
81.8,27,car,medium,11779.2
7.5,7,bike,high,450.0
77.1,80,car,low,9252.0
36.4,5,bike,high,2184.0
17.4,7,bike,high,1044.0
76.1,18,car,high,13698.0
2.3,13,bike,high,138.0
71.1,17,car,high,12798.0
96.5,7,bike,high,5790.0
62.9,55,car,low,7548.0
54.1,32,bike,medium,2596.8
56.2,6,bike,high,3372.0
86.5,51,bike,low,3460.0
96.1,7,car,high,17298.0
82.3,14,bike,high,4938.0
16.6,47,car,low,1992.0
98.2,26,car,medium,14140.8
52.8,5,car,high,9504.0
9.2,68,bike,low,368.0
5.7,33,car,medium,820.8
11.7,20,car,medium,1684.8
50.4,11,car,high,9072.0
37.1,51,car,low,4452.0
61.1,76,car,low,7332.0
9.8,65,bike,low,392.0
57.1,51,bike,low,2284.0
67.9,78,bike,low,2716.0
12.1,36,bike,medium,580.8
15.7,55,car,low,1884.0
71.7,23,car,medium,10324.8
87.6,47,bike,low,3504.0
81.3,69,bike,low,3252.0
46.7,20,car,medium,6724.8
9.1,70,bike,low,364.0
55.0,76,bike,low,2200.0
39.6,28,car,medium,5702.4
19.5,36,bike,medium,936.0
12.5,54,bike,low,500.0
31.0,76,bike,low,1240.0
61.3,10,bike,high,3678.0
37.6,21,bike,medium,1804.8
91.8,69,bike,low,3672.0
3.6,36,car,medium,518.4
87.5,51,car,low,10500.0
56.0,11,bike,high,3360.0
63.4,52,bike,low,2536.0
60.3,37,car,medium,8683.2
44.1,8,car,high,7938.0
84.3,73,bike,low,3372.0
2.1,24,bike,medium,100.8
40.8,7,bike,high,2448.0
22.7,12,bike,high,1362.0
68.5,35,bike,medium,3288.0
89.5,55,bike,low,3580.0
76.1,43,car,low,9132.0
89.2,35,bike,medium,4281.6
80.1,47,bike,low,3204.0
66.6,17,bike,high,3996.0
55.8,57,bike,low,2232.0
53.9,25,bike,medium,2587.2
60.3,21,car,medium,8683.2
30.5,9,bike,high,1830.0
33.1,49,bike,low,1324.0
96.1,37,bike,medium,4612.8
88.4,32,car,medium,12729.6
65.1,36,bike,medium,3124.8
84.4,51,bike,low,3376.0
10.1,31,bike,medium,484.8
52.3,35,car,medium,7531.2
85.1,62,car,low,10212.0
63.5,20,car,high,11430.0
97.5,26,bike,medium,4680.0
54.7,63,bike,low,2188.0
48.6,16,bike,high,2916.0
70.4,11,car,high,12672.0
10.1,76,car,low,1212.0
84.3,35,car,medium,12139.2
91.2,72,car,low,10944.0
69.4,27,car,medium,9993.6
9.1,5,car,high,1638.0
9.9,27,bike,medium,475.2
86.1,17,bike,high,5166.0
42.0,50,car,low,5040.0
7.7,30,bike,medium,369.6
13.7,11,bike,high,822.0
66.2,27,car,medium,9532.8
99.6,30,bike,medium,4780.8
11.0,39,car,medium,1584.0
53.6,12,bike,high,3216.0
9.2,15,car,high,1656.0
15.1,40,car,low,1812.0
48.8,18,bike,high,2928.0
91.5,27,bike,medium,4392.0
68.2,66,bike,low,2728.0
83.0,33,bike,medium,3984.0
45.2,11,car,high,8136.0
59.1,34,car,medium,8510.4
91.9,32,bike,medium,4411.2
55.0,57,car,low,6600.0
60.9,19,bike,high,3654.0
97.7,60,car,low,11724.0
70.9,21,bike,medium,3403.2
1.9,9,bike,high,114.0
43.9,25,car,medium,6321.6
41.5,25,bike,medium,1992.0
90.6,21,car,medium,13046.4
19.7,68,bike,low,788.0
2.4,28,car,medium,345.6
77.4,60,bike,low,3096.0
11.7,24,bike,medium,561.6
56.9,28,car,medium,8193.6
20.3,31,car,medium,2923.2
95.6,13,bike,high,5736.0
9.3,12,bike,high,558.0
38.8,25,car,medium,5587.2
87.3,25,car,medium,12571.2
61.9,28,bike,medium,2971.2
51.5,43,car,low,6180.0
71.1,20,bike,high,4266.0
43.0,21,car,medium,6192.0
82.7,68,car,low,9924.0
49.2,39,car,medium,7084.8
77.4,31,bike,medium,3715.2
60.1,63,bike,low,2404.0
70.2,31,bike,medium,3369.6
12.8,56,bike,low,512.0
74.1,8,bike,high,4446.0
47.7,61,car,low,5724.0
55.5,80,car,low,6660.0
13.8,46,bike,low,552.0
18.0,33,bike,medium,864.0
15.2,60,car,low,1824.0
16.5,17,car,high,2970.0
43.6,7,bike,high,2616.0
54.6,22,bike,medium,2620.8
17.8,58,car,low,2136.0
73.2,21,car,medium,10540.8
18.9,40,car,medium,2721.6
48.0,29,bike,medium,2304.0
75.5,16,car,high,13590.0
92.1,68,car,low,11052.0
59.0,24,bike,medium,2832.0
56.7,11,bike,high,3402.0
64.0,21,car,medium,9216.0
75.3,36,bike,medium,3614.4
67.9,13,car,high,12222.0
21.1,18,car,high,3798.0
56.2,11,car,high,10116.0
55.9,41,car,low,6708.0
47.2,19,bike,high,2832.0
33.1,49,car,low,3972.0
19.4,78,bike,low,776.0
35.0,39,car,medium,5040.0
24.3,54,car,low,2916.0
56.3,10,car,high,10134.0
63.9,17,bike,high,3834.0
75.5,33,car,medium,10872.0
44.1,49,car,low,5292.0
85.4,27,bike,medium,4099.2
66.8,46,bike,low,2672.0
77.0,14,car,high,13860.0
73.2,59,car,low,8784.0
13.7,11,bike,high,822.0
49.1,51,bike,low,1964.0
8.4,8,bike,high,504.0
34.3,11,car,high,6174.0
93.1,5,car,high,16758.0
59.1,23,car,medium,8510.4
69.7,47,car,low,8364.0
91.3,19,car,high,16434.0
87.6,18,bike,high,5256.0
90.0,40,car,medium,12960.0
78.8,18,car,high,14184.0
14.7,53,car,low,1764.0
53.8,20,car,high,9684.0
7.2,12,bike,high,432.0
73.2,30,bike,medium,3513.6
85.0,56,bike,low,3400.0
39.1,36,car,medium,5630.4
88.7,10,car,high,15966.0
58.2,35,bike,medium,2793.6
91.3,78,bike,low,3652.0
21.9,14,bike,high,1314.0
29.6,13,car,high,5328.0
17.6,52,car,low,2112.0
30.0,40,bike,medium,1440.0
66.2,12,car,high,11916.0
45.6,75,bike,low,1824.0
16.1,19,bike,high,966.0
67.4,38,bike,medium,3235.2
35.1,8,bike,high,2106.0
31.8,36,car,medium,4579.2
78.5,52,car,low,9420.0
59.7,53,bike,low,2388.0
86.6,27,car,medium,12470.4
26.8,25,car,medium,3859.2
74.8,16,bike,high,4488.0
65.9,8,car,high,11862.0
26.1,9,car,high,4698.0
36.9,42,car,low,4428.0
61.6,46,bike,low,2464.0
91.4,36,bike,medium,4387.2
56.1,6,bike,high,3366.0
39.1,14,car,high,7038.0
40.7,39,car,medium,5860.8
52.6,76,car,low,6312.0
51.8,23,car,medium,7459.2
16.5,18,car,high,2970.0
35.6,9,bike,high,2136.0
91.6,18,bike,high,5496.0
61.1,31,bike,medium,2932.8
69.1,36,car,medium,9950.4
93.2,28,car,medium,13420.8
22.8,45,car,low,2736.0
95.9,74,bike,low,3836.0
49.9,6,bike,high,2994.0
56.2,17,bike,high,3372.0
21.2,34,bike,medium,1017.6
97.6,28,car,medium,14054.4
46.4,61,car,low,5568.0
59.5,45,car,low,7140.0
83.6,41,car,low,10032.0
54.6,42,car,low,6552.0
30.3,67,car,low,3636.0
74.7,20,car,high,13446.0
83.1,31,bike,medium,3988.8
79.1,24,bike,medium,3796.8
92.1,22,car,medium,13262.4
95.1,15,bike,high,5706.0
96.8,79,car,low,11616.0
87.5,38,car,medium,12600.0
63.3,39,bike,medium,3038.4
54.3,74,car,low,6516.0
40.6,27,bike,medium,1948.8
37.4,80,bike,low,1496.0
92.7,7,bike,high,5562.0
42.2,12,car,high,7596.0
8.9,34,car,medium,1281.6
8.2,9,car,high,1476.0
57.9,6,bike,high,3474.0
83.0,17,bike,high,4980.0
78.7,10,bike,high,4722.0
34.2,53,car,low,4104.0
32.3,19,bike,high,1938.0
17.9,9,car,high,3222.0
34.3,39,bike,medium,1646.4
97.0,78,bike,low,3880.0
8.5,27,bike,medium,408.0
69.5,19,car,high,12510.0
64.3,32,car,medium,9259.2
74.7,23,car,medium,10756.8
64.6,48,car,low,7752.0
87.4,54,bike,low,3496.0
7.7,30,car,medium,1108.8
83.1,12,car,high,14958.0
83.9,17,car,high,15102.0
93.6,30,car,medium,13478.4
84.7,22,car,medium,12196.8
51.3,54,car,low,6156.0
80.9,26,car,medium,11649.6
95.6,11,bike,high,5736.0
9.2,14,car,high,1656.0
